"","Country Name","Country Code","Continent","year","Pop","Pop.fe","Pop.ma","birthrate","deathrate","lifeexp","lifeexp.fe","lifeexp.ma","ed.spend","ed.years","labour","lit.rate.per","co2","gdp","unemp","unemp.fe","unemp.ma","health.exp","medbeds","surg.pro","nurse.midwi"
"134","Latvia","LVA","Europe",1999,2390482,1291778,1098704,8.1,13.7,69.7429268292683,75.29,64.46,5.53982,11,1121001,NA,6780.283,7518044679.3178,13.7896995544434,13.3585996627808,14.1823997497559,NA,9.029999733,NA,4.8819
"135","Least developed countries: UN classification","LDC","Aggregated Nations",1999,641046802,321225112,319812344,38.9194314075479,12.5976680412712,55.0104312750876,56.4386762264122,53.6493634033901,2.89331,6,252975865,51.84497,105308.745976055,189032754802.13,NA,NA,NA,NA,NA,NA,NA
"136","Lebanon","LBN","Asia",1999,3747766,1884657,1863109,22.156,4.776,74.017,75.59,72.378,NA,6,1179300,NA,16490.499,17391056369.2265,NA,NA,NA,NA,NA,NA,NA
"137","Lesotho","LSO","Africa",1999,2019731,1046576,973155,30.947,15.158,49.328,52.805,46.218,12.49935,NA,891734,NA,1826.166,912771290.61298,27.2700004577637,33.0999984741211,21.4599990844727,NA,NA,NA,NA
"138","Liberia","LBR","Africa",1999,2699712,1354519,1345193,43.273,15.419,51.234,52.329,50.145,NA,NA,1147475,NA,392.369,NA,NA,NA,NA,NA,NA,NA,NA
"139","Libya","LBY","Africa",1999,5275926,2532951,2742975,21.982,4.642,70.684,72.577,69.084,2.26417,9,1532079,NA,44620.056,35976714100.9056,NA,NA,NA,NA,NA,NA,NA
"140","Liechtenstein","LIE","Europe",1999,32769,NA,NA,12.4,6.4,79.109756097561,82.9,75.5,NA,9,NA,NA,NA,2664026095.06058,1.77999997138977,NA,NA,NA,NA,NA,NA
"141","Lithuania","LTU","Europe",1999,3524238,1872416,1651822,10.3,11.4,71.5707317073171,77,66.4,NA,10,1712631,NA,13692.578,10972878636.1675,13.3875999450684,12.0615997314453,14.6538000106812,NA,9.8500003815,NA,8.3316
"142","Low & middle income","LMY","Aggregated Nations",1999,4963408578,2452069825,2509379647,23.9975071843605,8.62716359544954,65.1294402886345,67.2294952671939,63.2019302257126,3.80062,9,2194904404,77.07523,10459326.4811292,5486007988489.16,NA,NA,NA,NA,NA,NA,NA
"143","Low income","LIC","Aggregated Nations",1999,427140442,215210753,211929689,41.9863303983939,13.8923869845553,53.0723965456191,54.717747809632,51.4506978018073,3.13107,7,173746265,52.34968,167120.107229162,117216415314.495,NA,NA,NA,NA,NA,NA,NA
"144","Lower middle income","LMC","Aggregated Nations",1999,2239892466,1097561884,1142330582,28.0764408906683,9.22118433418621,62.0996182975969,63.5934927132173,60.7170642883393,4.089775,8,857250364,66.52759,2277342.32741168,1230991874654.19,NA,NA,NA,NA,NA,NA,NA
"145","Luxembourg","LUX","Europe",1999,430475,218564,211911,13,8.8,77.7707317073171,81.1,74.6,NA,6,181745,NA,7686.032,22235929043.2559,2.38980007171631,3.33039999008179,1.77839994430542,NA,6.3000001907,NA,7.5122
"146","Macao SAR, China","MAC","Asia",1999,418383,217531,200852,9.61,3.878,80.15,82.613,77.551,3.36598,10,210298,NA,1518.138,6490571703.85015,6.30000019073486,4.40000009536743,8,NA,NA,NA,NA
"147","Madagascar","MDG","Africa",1999,15282521,7672439,7610082,41.918,10.656,57.782,59.001,56.601,2.76755,5,7251953,NA,1917.841,3717515282.53319,NA,NA,NA,NA,NA,NA,NA
"148","Malawi","MWI","Africa",1999,10854322,5490938,5363384,43.901,18.281,45.136,47.743,42.845,4.99491,8,4569425,NA,942.419,1775921718.10534,NA,NA,NA,NA,NA,NA,NA
"149","Malaysia","MYS","Asia",1999,22661298,11121623,11539675,22.993,4.549,72.418,74.575,70.456,5.68675,NA,9250756,NA,107934.478,79148421052.6316,3.4300000667572,3.28999996185303,3.5,NA,NA,NA,NA
"150","Maldives","MDV","Asia",1999,273527,135509,138018,22.68,4.887,69.348,70.49,68.443,NA,NA,84975,NA,421.705,589239753.610875,NA,NA,NA,NA,NA,NA,NA
"151","Mali","MLI","Africa",1999,10642936,5368283,5274653,48.779,18.766,47.515,48.216,46.813,2.23184,9,3953328,NA,795.739,3439463140.35541,NA,NA,NA,NA,NA,NA,NA
"152","Malta","MLT","Europe",1999,387578,195439,192139,11.4,7.9,77.5,79.6,75.5,NA,11,153875,NA,2346.88,4127313818.33836,5.30000019073486,2.59999990463257,6.30000019073486,NA,5.5700001717,NA,NA
"153","Marshall Islands","MHL","Oceania",1999,50423,NA,NA,41.8,4.9,67.5048780487805,69.4,65.7,14.53904,9,NA,NA,66.006,114326300,NA,NA,NA,NA,2.1,NA,NA
"154","Mauritania","MRT","Africa",1999,2561585,1288821,1272764,38.287,9.316,60.643,62.403,58.826,2.43289,NA,727706,NA,1147.771,1405662876.94378,NA,NA,NA,NA,NA,NA,NA
"155","Mauritius","MUS","Africa",1999,1175267,591986,583281,17.3,6.8,70.9609756097561,74.7,67.4,3.93976,6,513708,NA,2427.554,4343710332.80658,NA,NA,NA,NA,NA,NA,NA
"156","Mexico","MEX","North America",1999,97484832,49601526,47883306,24.272,4.786,73.988,76.664,71.302,3.53536,9,38276913,NA,391591.596,600232874042.927,2.48799991607666,3.54099988937378,1.94900000095367,NA,1.1000000238,NA,NA
"157","Micronesia, Fed. Sts.","FSM","Oceania",1999,107781,53152,54629,30.514,7.748,64.413,66.017,62.938,6.40977,NA,NA,NA,110.01,220140471.847169,NA,NA,NA,NA,NA,NA,NA
"158","Middle East & North Africa","MEA","Aggregated Nations",1999,309436741,151489834,157946907,25.0792350190923,5.61095463348355,69.5863100137982,71.3144174754525,67.9687152624078,NA,9,90944791,68.0924,1353489.7,866973172257.064,NA,NA,NA,NA,NA,NA,NA
"159","Middle East & North Africa (excluding high income)","MNA","Aggregated Nations",1999,274350032,135762730,138587302,25.1554218439566,5.8258323735242,69.0532087411785,70.8088506766916,67.3739283593962,NA,9,78104885,66.22841,866457.095,435996752504.416,NA,NA,NA,NA,NA,NA,NA
"160","Middle East & North Africa (IDA & IBRD countries)","TMN","Aggregated Nations",1999,271501601,134360248,137141353,24.9849935303439,5.83869306723904,69.0349139353252,70.7930352127811,67.3535154001288,NA,7.5,77507627,66.01418,865808.036,431671125245.276,NA,NA,NA,NA,NA,NA,NA
"161","Middle income","MIC","Aggregated Nations",1999,4536268136,2236859072,2297449958,22.3036032670348,8.13136782169133,66.2666731071419,68.435333108332,64.2876801290107,4.089775,9,2021158139,79.07006,10291408.2917838,5370611751229.54,NA,NA,NA,NA,NA,NA,NA
"162","Moldova","MDA","Europe",1999,2929735,1527898,1401837,11.847,11.698,66.852,70.797,62.866,4.66256,9,1136784,NA,4503.076,1170782957.37443,11.1400003433228,8.89000034332275,13.3199996948242,NA,8.1899995804,NA,8.716
"163","Monaco","MCO","Europe",1999,31844,NA,NA,NA,NA,NA,NA,NA,1.19528,NA,NA,NA,NA,2906009307.6651,NA,NA,NA,NA,NA,NA,NA
"164","Mongolia","MNG","Asia",1999,2376225,1192087,1184138,19.853,7.899,62.446,65.258,59.826,5.14566,8,914539,NA,7554.02,1057408588.68269,NA,NA,NA,NA,NA,NA,NA
"165","Montenegro","MNE","Europe",1999,606001,306000,300001,13.836,9.57,73.287,76.11,70.504,NA,NA,231600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Morocco","MAR","Africa",1999,28455509,14344080,14111429,22.607,6.417,68.245,69.798,66.633,5.14016,6,9341386,NA,33153.347,41632027599.8531,13.9399995803833,13.3199996948242,14.1800003051758,NA,NA,NA,NA
"167","Mozambique","MOZ","Africa",1999,17244188,9005617,8238571,44.876,16.843,48.572,50.643,46.419,3.13107,NA,8135206,NA,1188.108,5888561099.32603,NA,NA,NA,NA,NA,NA,0.2835
"168","Myanmar","MMR","Asia",1999,46181077,23796859,22384218,24.733,9.947,59.744,62.819,56.705,NA,5,22222904,NA,8969.482,NA,NA,NA,NA,NA,NA,NA,NA
"169","Namibia","NAM","Africa",1999,1763859,913294,850565,31.641,12.102,53.231,55.557,50.824,7.21755,7,553745,NA,1664.818,3818954447.99083,NA,NA,NA,NA,NA,NA,NA
"170","Nauru","NRU","Oceania",1999,10449,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,91.675,NA,NA,NA,NA,NA,NA,NA,NA
"171","Nepal","NPL","Asia",1999,23509964,11773451,11736513,32.64,8.843,61.6,62.614,60.517,2.89331,NA,11899084,NA,3219.626,5033642384.10596,1.85000002384186,1.6599999666214,2.02999997138977,NA,0.200000003,NA,NA
"172","Netherlands","NLD","Europe",1999,15812088,7980350,7831738,12.7,8.9,77.8365853658537,80.5,75.3,4.507,13,7963539,NA,173665.453,446898572341.786,3.62249994277954,4.85230016708374,2.69359993934631,NA,5,NA,NA
"173","New Caledonia","NCL","Oceania",1999,209214,103207,106007,20.6,5.2,73.8756097560976,77,70.9,NA,0,98536,NA,2057.187,3056999988.09146,NA,NA,NA,NA,NA,NA,NA
"174","New Zealand","NZL","Oceania",1999,3835100,1951226,1883874,14.87,7.33,77.890243902439,80.4,75.5,6.63621,10,1909755,NA,32639.967,58762260625.8758,7.02299976348877,6.69299983978271,7.29699993133545,NA,NA,NA,NA
"175","Nicaragua","NIC","South America",1999,4991040,2521581,2469459,27.693,5.431,69.1,71.957,66.215,2.92365,6,1814093,NA,3626.663,4855717874.68247,NA,NA,NA,NA,NA,NA,NA
"176","Niger","NER","Africa",1999,10929918,5521896,5408022,53.82,17.804,49.279,49.926,48.636,3.22863,NA,4476668,NA,953.42,2018193703.06047,NA,NA,NA,NA,NA,NA,NA
"177","Nigeria","NGA","Africa",1999,119260063,59154811,60105252,43.211,18.059,46.103,47.063,45.184,NA,NA,40317120,NA,40285.662,59372613485.6576,NA,NA,NA,NA,NA,NA,NA
"178","North America","NAC","Aggregated Nations",1999,309502571,157001293,152439993,13.9052628006465,8.46245597363501,76.8091316391787,79.6150159718748,74.137053351216,5.54994,11,160714018,NA,6020572.275,10310072635807.7,4.55235921445885,4.63105277479938,4.48304564955271,NA,3.62947364328064,NA,NA
"179","North Macedonia","MKD","Europe",1999,2024394,1009866,1014528,13.333,8.254,73.038,75.52,70.65,NA,NA,825209,NA,11723.399,3863743409.49033,32.4000015258789,33.2999992370605,31.8999996185303,NA,5.0999999046,NA,NA
"180","Northern Mariana Islands","MNP","Oceania",1999,55636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Norway","NOR","Europe",1999,4461913,2252100,2209813,13.3,10.1,78.2829268292683,81.1,75.6,6.96642,10,2379488,NA,40681.698,162284465073.341,3.24659991264343,3.2341001033783,3.25769996643066,NA,3.9000000954,NA,NA
"182","Not classified","INX","Aggregated Nations",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","OECD members","OED","Aggregated Nations",1999,1149382451,585660468,563721983,13.4192513367241,8.39179249493605,76.7734620412165,79.9412155538147,73.7447407539542,4.60029,10,547403640,NA,12497077.328,26826676781835.8,6.74962998596259,7.37978476330797,6.27968236173118,NA,5.84965238868236,NA,NA
"184","Oman","OMN","Asia",1999,2254904,975360,1279544,25.063,3.633,71.664,74.005,69.926,4.00595,NA,785545,NA,20707.549,15710148244.4733,NA,NA,NA,NA,NA,NA,2.8551
"185","Other small states","OSS","Aggregated Nations",1999,20540138,10296816,10216177,28.3535991128647,10.84156413986,60.4005696849178,62.6450750891344,58.3580362811843,5.24617,8,7879131,78.70902,99466.6722013387,81024263050.8064,NA,NA,NA,NA,NA,NA,NA
"186","Pacific island small states","PSS","Aggregated Nations",1999,1939992,906590,944408,29.7235757096798,6.59046979502624,66.3396425767117,68.0172226651518,64.7462368234916,NA,NA,650186,88.72764,1811.498,3735824873.61437,NA,NA,NA,NA,NA,NA,NA
"187","Pakistan","PAK","Asia",1999,138624621,67055724,71568897,35.424,9.043,62.564,63.407,61.818,2.61149,12,40510311,NA,100384.125,62973855718.8874,5.34999990463257,13.6599998474121,3.84999990463257,NA,NA,NA,0.4211
"188","Palau","PLW","Oceania",1999,18776,NA,NA,13.2,6.9,NA,NA,NA,NA,NA,NA,NA,242.022,NA,NA,NA,NA,NA,NA,NA,NA
"189","Panama","PAN","North America",1999,2971196,1473637,1497559,23.758,4.783,74.881,77.449,72.47,4.56723,11,1259502,NA,5669.182,12130252200,11.75,16.9300003051758,8.86999988555908,NA,NA,NA,1.1423
"190","Papua New Guinea","PNG","Oceania",1999,5716161,2810784,2905377,34.25,9.623,59.049,60.527,57.683,NA,NA,2458917,NA,2445.889,3477038204.01733,NA,NA,NA,NA,NA,NA,NA
"191","Paraguay","PRY","South America",1999,5216349,2569978,2646371,27.746,5.563,70.31,72.407,68.313,4.23088,9,2216084,NA,4503.076,8837070235.51892,9.39999961853027,NA,NA,NA,NA,NA,NA
"192","Peru","PER","South America",1999,26078293,13079203,12999090,23.839,5.561,70.7,72.922,68.461,3.44134,12,11712840,NA,29358.002,50187324567.883,7.98999977111816,8.60000038146973,7.48999977111816,NA,NA,NA,0.656
"193","Philippines","PHL","Asia",1999,76325927,37867397,38458530,29.887,5.425,68.744,72.197,65.481,NA,11,29245312,NA,69159.62,82995145792.9341,9.80869960784912,9.99849987030029,9.69270038604736,NA,NA,NA,NA
"194","Poland","POL","Europe",1999,38660271,19883133,18777138,9.9,9.9,73.0439024390244,77.5,68.8,4.60029,NA,17165879,NA,315721.366,169717677900.734,12.2897996902466,13.1687002182007,11.546799659729,NA,5.0999999046,NA,5.7
"195","Portugal","PRT","Europe",1999,10217828,5292683,4925145,11.4,10.6,75.9634146341463,79.6,72.5,5.04535,9,5183870,NA,64425.523,127427343916.471,4.57800006866455,5.0644998550415,4.1761999130249,NA,3.7999999523,NA,NA
"196","Post-demographic dividend","PST","Aggregated Nations",1999,1015420880,518649565,496771315,11.4889991489943,9.20024338733511,77.1164179360581,80.3521521947599,74.0520297909089,5.04535,9,499594974,NA,11958930.41,25837310281051.7,6.95635242273891,7.23679555039767,6.25332756792691,NA,6.77960014452753,NA,NA
"197","Pre-demographic dividend","PRE","Aggregated Nations",1999,535773390,268588854,267184536,43.694140986918,15.2694113215421,50.3755994480148,51.9644561722729,48.8577955987842,3.13107,6.5,198102384,57.28266,177202.057648746,212368308498.737,NA,NA,NA,NA,NA,NA,NA
"198","Puerto Rico","PRI","North America",1999,3800081,1972553,1827528,15.6,7.7,75.375487804878,79.975,70.995,NA,13,1378319,NA,NA,5.7841e+10,11.8100004196167,9.52000045776367,13.5200004577637,NA,NA,NA,NA
"199","Qatar","QAT","Asia",1999,570489,197500,372989,19.599,1.971,77.327,78.715,76.399,4.3453,NA,327728,NA,31407.855,12393131868.1319,NA,NA,NA,NA,NA,NA,NA
"200","Romania","ROU","Europe",1999,22472040,11469109,11002931,10.4,11.8,70.5121951219512,74.2,67,NA,8,11821172,NA,89742.491,35952781582.2083,6.23699998855591,5.53289985656738,6.86030006408691,NA,7.3099999428,NA,NA
"201","Russian Federation","RUS","Asia",1999,147214392,78274915,68939477,8.3,14.6,65.9821951219512,72.4,59.87,NA,8,73023462,NA,1531130.181,195907128350.934,13.03600025177,12.8959999084473,13.1669998168945,NA,10.8500003815,NA,NA
"202","Rwanda","RWA","Africa",1999,7501234,3840422,3660812,40.35,15.731,46.639,47.499,45.734,4.38327,6,3618078,NA,509.713,1817654508.16444,NA,NA,NA,NA,NA,NA,NA
"203","Samoa","WSM","Oceania",1999,173609,83164,90445,30.952,6.413,68.399,71.084,65.964,4.01625,8,47397,NA,135.679,258833766.580017,NA,NA,NA,NA,NA,NA,2.0104
"204","San Marino","SMR","Europe",1999,27145,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1215640315.36331,3,4.59999990463257,1.60000002384186,NA,NA,NA,NA
"205","Sao Tome and Principe","STP","Africa",1999,139959,70794,69165,39.534,9.415,60.742,62.697,58.793,NA,6,42559,NA,47.671,NA,NA,NA,NA,NA,NA,NA,NA
"206","Saudi Arabia","SAU","Asia",1999,20194527,9195458,10999069,27.002,3.747,72.327,74.272,70.743,7.07227,NA,6026070,NA,226459.252,161716960000,4.34999990463257,8.14999961853027,3.69000005722046,NA,NA,NA,NA
"207","Senegal","SEN","Africa",1999,9568722,4859293,4709429,39.519,10.93,57.523,59.091,55.955,2.48935,6,2722486,NA,3700.003,6512207622.19727,NA,NA,NA,NA,NA,NA,NA
"208","Serbia","SRB","Europe",1999,7540401,3836936,3703465,9.6,13.5,NA,NA,NA,NA,8,3377060,NA,NA,18409364146.9794,13.6999998092651,16.2000007629395,11.6999998092651,NA,NA,NA,NA
"209","Seychelles","SYC","Africa",1999,80410,40303,40107,18.2,7,72.6682926829268,78.2,67.4,5.261,10,NA,NA,509.713,622985493.682733,NA,NA,NA,NA,NA,NA,NA
"210","Sierra Leone","SLE","Africa",1999,4462378,2250086,2212292,44.383,24.366,38.634,39.158,38.099,NA,NA,1599488,NA,366.7,669384768.87263,NA,NA,NA,NA,NA,NA,NA
"211","Singapore","SGP","Asia",1999,3958723,1927542,2031181,12.8,4.5,77.5512195121951,79.6,75.6,NA,NA,2106295,NA,50069.218,86284660766.9617,4.84999990463257,5.21000003814697,4.6399998664856,NA,NA,NA,4.0324
"212","Sint Maarten (Dutch part)","SXM","North America",1999,31084,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Slovak Republic","SVK","Europe",1999,5396020,2774868,2621152,10.4,9.7,72.9024390243902,77,69,4.11247,10,2551618,NA,39240.567,30453383763.0514,15.9470996856689,15.9067001342773,15.9807996749878,NA,8,NA,NA
"214","Slovenia","SVN","Europe",1999,1983045,1014339,968706,8.8,9.5,75.009756097561,78.8,71.4,NA,9,965214,NA,15236.385,22711383651.9446,7.32439994812012,7.47329998016357,7.19729995727539,NA,5.5500001907,NA,1.54
